Eje,RMS_base,RMS_placa,Red_RMS,Red_dB,Pico_base,Pico_placa,Red_pico
Roll (deg),0.376850239109369,0.0199379246604398,18.9011768038778,25.5297768914225,0.713423071694942,0.0390264588800839,18.2804971849244
Pitch (deg),0.160070880694759,0.0810073738608419,1.97600382614225,5.91575562356311,0.376543910923016,0.158465926721666,2.37618217816875
Heave (m),0.0701755754611424,0.0767543133071606,0.914288362926381,-0.778336158049515,0.124496879193563,0.0978473938312601,1.27235764100432
